,Min,Q1,Mediane,Mean,Q3,Max,n
Unnamed: 0,1.0,118.0,225.0,221.87537993920972,329.0,430.0,329
Glycémie (mmol/L),2.45,4.76,5.1,5.179088145896656,5.51,10.82,329
Insuline (µUI/mL),2.0,3.9,5.9,9.187021276595745,10.1,276.0,329
Homa,0.4,0.854,1.3,2.3055030395136775,2.3,109.5413,329
Quicki,0.2152,0.337,0.368,0.3659185410334347,0.394,0.46,329
A1C (%),4.7,5.2,5.4,5.482874617737004,5.7,9.3,327
Homocystéine (µmol/L),2.0,5.8,8.3,8.63434650455927,10.7,33.7,329
TGO (UI/L),8.0,21.0,24.0,25.775075987841944,28.0,128.0,329
TSH (mUI/L),0.01,0.97,1.31,1.5525531914893616,1.81,24.11,329
PCR-US (mg/L),0.35,0.5,1.2,2.7139817629179332,2.7,59.8,329
Ferritine (µg/L),6.0,48.0,86.0,123.96960486322189,163.0,607.0,329
Fer (µmol/L),2.9,13.2,16.8,17.286018237082068,21.0,42.1,329
Transferrine (g/L),1.05,2.3,2.51,2.502674772036474,2.72,4.39,329
Capacité de fixation de la TRF (µmol/L),26.25,57.5,62.75,62.566869300911854,68.0,109.75,329
Coefficient de saturation de la TRF (%),3.9521,21.2069,26.4463,28.08917142857143,33.1783,87.2539,329
LBP (µg/mL),1.3,4.1,5.2,5.355319148936171,6.6,14.1,329
Vitamine D (ng/mL),6.0,23.0,31.0,35.348024316109424,42.0,114.0,329
Ac anti-LDL oxydés (U/L),30.0,30.0,188.0,418.9480243161094,810.0,1210.0,329
