Municipalité,Province/Type,Indice_de_bonheur,Rang_CMM,Rang_Canada
Mont-Saint-Hilaire,QC,79,1,
Blainville,QC,78.1,2,
Saint-Eustache,QC,77.8,3,
Saint-Basile-le-Grand,QC,77,4,
La Prairie,QC,76.5,5,
Mirabel,QC,76.2,6,
Brossard,QC,76,7,
Repentigny,QC,75.9,8,
Boisbriand,QC,75.3,9,
Saint-Bruno-de-Montarville,QC,75,10,
Beloeil,QC,74.2,11,
Boucherville,QC,74.1,12,
Terrebonne,QC,73.5,13,
Sainte-Julie,QC,73,14,
Longueuil,QC,72.2,15,
Saint-Constant,QC,72.2,16,
Varennes,QC,72.2,17,
Beauharnois,QC,72,18,
L'Assomption,QC,71.8,19,
Sainte-Marthe-sur-le-Lac,QC,71.5,20,
Châteauguay,QC,71,21,
Mascouche,QC,70.5,22,
Laval,QC,70.1,23,
Pointe-Claire,QC,69.8,24,
Chambly,QC,69.5,25,
Montréal,QC,69,26,5
